Problem,Policy,Mean,Median,STD,Lower,Upper
Non-linear,PPTS,7.786,7.734,2.529,7.29,8.282
Non-linear,NeuralLinear,12.62,11.52,5.263,11.59,13.65
Non-linear,PTS,19.12,16.93,8.13,17.53,20.71
Non-linear,PLTS,31.16,29.74,10.23,29.15,33.17
Non-linear,kNN,31.43,31.06,4.982,30.45,32.41
Latent-linear,NeuralLinear,7.666,7.683,2.397,7.196,8.136
Latent-linear,PPTS,10.43,10.48,2.79,9.883,10.98
Latent-linear,PLTS,11.89,11.86,3.433,11.22,12.56
Latent-linear,PTS,17.4,17.68,5.52,16.32,18.48
Latent-linear,kNN,20.31,20.07,3.956,19.53,21.09
Near-linear,PPTS,0.569,0.4578,0.3771,0.4951,0.6429
Near-linear,PTS,0.5733,0.4461,0.3735,0.5001,0.6465
Near-linear,NeuralLinear,0.5769,0.4378,0.4356,0.4915,0.6623
Near-linear,PLTS,0.6884,0.5357,0.5107,0.5883,0.7885
Near-linear,kNN,8.758,7.379,6.14,7.555,9.961
Wheel07,PPTS,1.774,1.712,0.3617,1.703,1.845
Wheel07,PLTS,1.869,1.81,0.3481,1.801,1.937
Wheel07,kNN,1.871,1.867,0.1355,1.844,1.898
Wheel07,NeuralLinear,2.343,2.312,0.2054,2.303,2.383
Wheel07,PTS,5.508,5.435,0.3301,5.443,5.573
Wheel09,kNN,4.109,4.053,4.606,3.206,5.012
Wheel09,PPTS,4.594,4.516,0.6842,4.46,4.728
Wheel09,NeuralLinear,5.005,4.879,0.7521,4.858,5.152
Wheel09,PLTS,5.566,5.434,0.89,5.392,5.74
Wheel90,PTS,7.886,7.641,1.006,7.689,8.083
Shuttle,PTS,1.899,1.914,0.157,1.868,1.93
Shuttle,PPTS,1.937,1.901,0.3217,1.874,2.0
Shuttle,PLTS,3.988,4.016,0.8805,3.815,4.161
Shuttle,NeuralLinear,4.295,3.216,2.088,3.886,4.704
Shuttle,kNN,60.87,60.41,1.782,60.52,61.22
